Date : 2026-07-01 00:06:27
Directory : e:\coding_workspaces\Kotlin\AndroidScreensaver
Total : 125 files,  15541 codes, 804 comments, 2448 blanks, all 18793 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_video_playback_settings.xml                                           | XML        |         95 |          5 |         20 |        120 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\dialog_color_picker.xml                                                        | XML        |         61 |          2 |         11 |         74 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\dialog_custom_cache_size.xml                                                   | XML        |         31 |          0 |          7 |         38 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\dialog_custom_timeout.xml                                                      | XML        |         49 |          0 |         11 |         60 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\include_decoration_clock_settings.xml                                          | XML        |        135 |         10 |         23 |        168 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\include_decoration_date_settings.xml                                           | XML        |        129 |          9 |         22 |        160 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\include_decoration_weather_settings.xml                                        | XML        |        160 |         12 |         28 |        200 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\item_folder_checkbox.xml                                                       | XML        |         49 |          0 |         10 |         59 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\menu\menu_folder_browser.xml                                                          | XML        |         10 |          0 |          3 |         13 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\menu\menu_main.xml                                                                    | XML        |         14 |          0 |          4 |         18 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\arrays.xml                                                                     | XML        |        209 |         12 |         12 |        233 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\colors.xml                                                                     | XML        |         15 |          0 |          1 |         16 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\colors_tv.xml                                                                  | XML        |          8 |          1 |          1 |         10 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\strings.xml                                                                    | XML        |         64 |         13 |         14 |         91 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\themes.xml                                                                     | XML        |         28 |          8 |          4 |         40 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\themes_tv.xml                                                                  | XML        |         15 |          6 |          1 |         22 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\xml\backup_rules.xml                                                                  | XML        |          5 |          0 |          1 |          6 |
