"filename", "language", "Java Properties", "Kotlinscript", "Python", "Batch", "Markdown", "XML", "Kotlin", "comment", "blank", "total"
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_bug.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_discord.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_folder.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_github.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_google.xml", "XML", 0, 0, 0, 0, 0, 18, 0, 0, 1, 19
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_launcher_foreground.xml", "XML", 0, 0, 0, 0, 0, 172, 0, 0, 1, 173
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_license.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_no_photos.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_open_in_new.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_preview.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_privacy.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_reset.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_search.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_settings.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_dropbox.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_gallery.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_google_drive.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_google_photos.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_network.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_onedrive.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_about.xml", "XML", 0, 0, 0, 0, 0, 188, 0, 6, 39, 233
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_debug_settings.xml", "XML", 0, 0, 0, 0, 0, 124, 0, 6, 23, 153
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_decoration_settings.xml", "XML", 0, 0, 0, 0, 0, 49, 0, 4, 15, 68
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_folder_browser.xml", "XML", 0, 0, 0, 0, 0, 145, 0, 8, 27, 180
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_google_drive_auth.xml", "XML", 0, 0, 0, 0, 0, 51, 0, 0, 8, 59
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 0, 0, 0, 112, 0, 5, 23, 140
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_main_tv.xml", "XML", 0, 0, 0, 0, 0, 106, 0, 6, 14, 126
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_photo_info_settings.xml", "XML", 0, 0, 0, 0, 0, 237, 0, 5, 45, 287
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_schedule_settings.xml", "XML", 0, 0, 0, 0, 0, 138, 0, 9, 31, 178
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_video_playback_settings.xml", "XML", 0, 0, 0, 0, 0, 95, 0, 5, 20, 120
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\dialog_color_picker.xml", "XML", 0, 0, 0, 0, 0, 61, 0, 2, 11, 74
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\dialog_custom_cache_size.xml", "XML", 0, 0, 0, 0, 0, 31, 0, 0, 7, 38
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\dialog_custom_timeout.xml", "XML", 0, 0, 0, 0, 0, 49, 0, 0, 11, 60
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\include_decoration_clock_settings.xml", "XML", 0, 0, 0, 0, 0, 135, 0, 10, 23, 168
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\include_decoration_date_settings.xml", "XML", 0, 0, 0, 0, 0, 129, 0, 9, 22, 160
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\include_decoration_weather_settings.xml", "XML", 0, 0, 0, 0, 0, 160, 0, 12, 28, 200
