Date : 2026-06-01 01:36:23
Directory : e:\coding_workspaces\Kotlin\AndroidScreensaver
Total : 120 files,  13402 codes, 1770 comments, 2299 blanks, all 17471 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\VersionUtils.kt                           | Kotlin          |         26 |         18 |          5 |         49 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\CloudFolderViewModel.kt               | Kotlin          |        131 |         41 |         28 |        200 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\GalleryViewModel.kt                   | Kotlin          |        107 |         36 |         23 |        166 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\MainViewModel.kt                      | Kotlin          |        114 |         21 |         18 |        153 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\bg_status_indicator.xml                                                      | XML             |          5 |          0 |          1 |          6 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_back.xml                                                                  | XML             |         11 |          0 |          1 |         12 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_bug.xml                                                                   | XML             |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_discord.xml                                                               | XML             |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_folder.xml                                                                | XML             |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_github.xml                                                                | XML             |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_google.xml                                                                | XML             |         18 |          0 |          1 |         19 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_launcher_foreground.xml                                                   | XML             |        172 |          0 |          1 |        173 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_license.xml                                                               | XML             |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_no_photos.xml                                                             | XML             |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_open_in_new.xml                                                           | XML             |         11 |          0 |          1 |         12 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_preview.xml                                                               | XML             |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_privacy.xml                                                               | XML             |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_reset.xml                                                                 | XML             |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_search.xml                                                                | XML             |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_settings.xml                                                              | XML             |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_dropbox.xml                                                        | XML             |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_gallery.xml                                                        | XML             |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_google_drive.xml                                                   | XML             |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_google_photos.xml                                                  | XML             |         10 |          0 |          1 |         11 |
